"prot"	"species"	"np_A"	"np_C"	"np_D"	"pd_A"	"pd_B"	"pd_C"	"pd_D"	"tp_pd_A"	"tp_pd_B"	"tp_pd_C"	"tp_pd_D"
"DYHC1_HUMAN"	"Human"	-0.0668378911814033	-0.415018164218373	0.17881754167717	-0.0353864418944594	-0.0722399188258653	-0.121885263177961	0.190036325138294	0.0865898459070545	0.25529544064129	0.614158963595807	0.297045253352081
"TPP2_HUMAN"	"Human"	0.210779348623011	-0.0025551616063324	0.174059119936976	0.579228650744732	0.689427099723142	0.475417695960258	0.485787020667159	-0.116962168355471	-0.20196321689526	0.178354757794143	-0.0142590055497971
"HCFC1_HUMAN"	"Human"	-0.149704662485406	NA	NA	0.310382527284138	0.825590188897753	0.194134761063758	-0.840162459290145	NA	NA	-0.594910990922019	-0.812590864409632
"RRP15_HUMAN"	"Human"	NA	NA	NA	0.306664027700513	0.17389769971875	-0.240882143650887	-0.501756345125725	0.170895102582808	-0.803090235922108	0.111215129700174	0.645691739000795
"ALDOC_HUMAN"	"Human"	0.147296117967278	0.0988349046792036	0.0626253509856236	0.00629279312938644	-0.155180556331919	-0.245974544941992	0.183130732343536	-0.0101077873487252	-0.0946791802452994	-0.179713119578187	0.0356154324000219
"EIF3A_HUMAN"	"Human"	-0.548549786980272	-0.193709668612033	-0.348355544936796	0.42823303176055	-0.442454104042941	0.228549678282873	0.336073598726142	-0.212965338182615	0.203469470843869	-0.0738210313373618	0.138886698054256
"MTREX_HUMAN"	"Human"	0.296506072681709	0.773281053398516	-0.186591559231555	0.404342333853244	0.531838803431297	-0.0368940607797292	-0.306393871533998	0.789786151047513	0.907219140788746	0.0514907055821308	0.194957640461212
"KPYM_HUMAN"	"Human"	0.0497183195298954	0.279519767590357	-0.790135314826014	0.154933191504016	-0.181584588776538	0.09907187344311	0.0606561744242227	-0.023512787753455	-0.241034252051679	-0.318195426615568	-0.0262293899039845
"BCL7C_HUMAN"	"Human"	-0.17049311598559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB3_HUMAN"	"Human"	-0.11133598398656	-0.487326368482547	-0.973697252427687	-0.502034951005398	-0.421924033314032	-0.383086396511452	-0.168193033294929	0.0412271493312219	0.232606903371529	0.411570480291388	0.404836791198538
"ARF1_YEAST"	"Yeast"	-0.430834594140544	0.428543772339116	0.0723517549899054	NA	-0.624329500426393	1.17931956263522	-0.163048330619516	-0.246817717809052	-0.175106436884026	0.450046280171828	-0.297991917339951
"PRP6_HUMAN"	"Human"	0.212064883755646	0.200849996666736	0.656782545867335	0.0771144946737767	0.167348169839551	-0.0952673961433672	-0.153141961561419	0.213193496602177	-0.0729779633976579	-0.0349574069361514	-0.364130286860322
"PRC2C_HUMAN"	"Human"	NA	NA	NA	-1.67937345013801	-0.447825628646989	-1.1162402482592	0.675737908937186	NA	NA	-1.25950272701415	0.768533940711611
"PRP4_HUMAN"	"Human"	-0.79662670000696	-1.79680457057617	-1.4893988216745	-0.317511889565439	-1.04106760305713	0.352849076361772	0.30593090128006	0.603619334765937	0.601924208600468	0.478198569709393	NA
"STRBP_HUMAN"	"Human"	0.310786751258524	-0.128128560239803	-0.11816371565876	NA	NA	0.365044754377147	0.228515593514915	-0.0085056417389196	NA	0.748624977397242	NA
"SND1_HUMAN"	"Human"	0.441549504671806	0.415103772858357	0.199194013688702	-0.284290129557418	-0.222466264393446	0.0618501263348268	0.0114566057233589	0.0825044093588564	-0.331853779637278	-0.0704271105033737	-0.093871059145743
"K2C8_HUMAN"	"Human"	0.508808996896734	0.780413588972316	0.255629657642357	-0.00482286318916214	-0.158749689702552	0.0806118435248845	0.00720771609641768	0.0385706959598523	-0.0977797084699037	-0.00540564611565331	0.0932604682710254
"RL38_HUMAN"	"Human"	-0.331297396464602	-0.491890071450995	-0.812492172419144	0.132141789141226	-0.575384412947391	-0.662959436848199	0.0265805786216293	0.747189510124874	-0.322460403993277	0.172417351154313	0.299600091147729
"PAPS1_HUMAN"	"Human"	NA	NA	NA	-1.14368520609451	NA	0.171510904078353	0.613393425690469	-0.579930288809588	NA	1.06523925789107	NA
"PGK1_HUMAN"	"Human"	-0.418473844673584	1.54885687530499	-1.22016196579499	-0.1473473310702	0.0451127645481611	0.142041521268054	-0.197792121259098	-0.476870379186399	-0.551917785258837	-0.224628408927287	-0.217430882468541
"TPR_HUMAN"	"Human"	0.147550788673247	1.22004998678411	1.10584036461166	0.324949106033124	0.0368681377907459	-0.229927822759603	-0.206831572084823	0.0743138206226986	-0.261912979237899	0.497313864961626	-0.244715677686145
"CHSP1_HUMAN"	"Human"	-0.505130111996716	NA	NA	-0.169115549526297	0.197259480568558	-0.278187927454045	0.158746143180479	-0.207151919987702	-0.364873607346104	-0.493220043021072	-0.336028303876376
"PRKDC_HUMAN"	"Human"	0.0876806970353764	-0.0357225078225292	0.0228855192535851	0.0772679725830695	-0.285976359663198	0.0232584020458912	-0.193449726847908	-0.293512906486288	0.0601184620269143	0.137546902312807	-0.217784071858057
"SPTA1_HUMAN"	"Human"	0.0900704917210692	NA	NA	-0.0720787881005693	0.160029864850006	-0.0786990476437422	0.123577452684118	0.669985669331191	0.270204053483905	-0.0812604978793147	-0.393135071341114
"TLN1_HUMAN"	"Human"	0.669651213164736	0.611616269186929	0.817493597543483	-0.0468309074594376	0.0103686100131926	-0.174419519997253	-0.167757376235309	0.235641443625288	-0.0977483425660122	-0.0714924916208439	-0.376640482100966
"VPS35_HUMAN"	"Human"	-0.310006289190087	-0.299788864771056	-0.814737859029281	-0.0484142154351342	0.158521664646148	0.224539683558334	0.16020540908011	0.154256315242356	-0.0447034953314811	-0.269965406695516	0.461700672793448
"OTU1_HUMAN"	"Human"	NA	NA	NA	-0.690462508392568	-0.762606100066772	-0.16407547427507	0.203196664542153	NA	NA	-0.562386850669368	-0.230841654174621
"TCPD_HUMAN"	"Human"	-0.109249505650462	-0.262682216614884	-0.491720481261041	-0.209101369583104	-0.166284372763473	-0.175301008729863	-0.232698114253706	0.0142940104635551	-0.0723783306208622	0.171993195591122	-0.136678606910947
"RS3_YEAST"	"Yeast"	-0.957752893685364	1.2509719460681	0.0680585247820548	-1.54001918081704	-0.141862630997729	0.445571008985892	0.406954858857788	-1.00970214730008	-0.285127736231032	0.380050512736631	0.829059131785057
"EIF2D_HUMAN"	"Human"	NA	NA	NA	NA	NA	0.510803714585021	NA	NA	NA	NA	NA
"UN45A_HUMAN"	"Human"	NA	NA	NA	-0.0137698027784391	0.137393496036966	-0.633267232986017	0.786790436974679	0.255552464036167	-0.237422125159485	0.27967424982781	0.798435476466189
"GYS2_YEAST"	"Yeast"	NA	-0.0546617758035941	NA	NA	-0.404563070760754	-0.54294605280911	NA	NA	NA	NA	NA
"DHB4_HUMAN"	"Human"	0.577258701131418	0.598001054658411	0.645915931349981	-0.279154356817301	-0.045824214516262	-0.597187338954986	-0.814229170284166	-0.837074738859108	-0.309607930365059	0.17741037264922	-0.461613911846522
"RBM12_HUMAN"	"Human"	-0.350959219674401	NA	NA	-0.470594616157443	0.0882502243546311	-0.057070530139249	0.112774385121887	-0.345796992350171	-0.428126562755846	-0.500427864745695	-0.439138522630896
"ASCC3_HUMAN"	"Human"	NA	NA	NA	0.65578687412576	NA	1.24077090914532	1.46325186723586	-0.482910649661503	NA	-0.0700306516277422	1.10917364064358
"PDC6I_HUMAN"	"Human"	0.496471200706439	0.131926297935898	0.170820398619936	0.246314555108081	0.417327541468922	0.767785745128675	0.83641699831039	0.393365217904164	0.325643208711679	-0.307430043947415	-0.682462740349686
"MCM2_HUMAN"	"Human"	-0.871202318851432	-0.0382448488438651	-0.813149020282968	-0.10685293502435	-0.0346876811016268	-0.0228548265136462	-0.257253375923759	-0.636102244588657	0.0852972700153717	0.0441340660954819	0.00845932145673559
"PUF60_HUMAN"	"Human"	-0.434008836309123	0.354431371621424	0.281293500654918	0.0159096340656256	-0.325665710161149	-0.250241386520108	-0.124619815240768	-0.430274913913056	-0.0486554909511689	0.132533086854488	0.0841450409264377
"ATP5H_HUMAN"	"Human"	0.374283165872963	0.715786540186676	0.0211358443349356	-0.266746680049582	NA	NA	-0.514449368863483	NA	-0.77837390080588	-0.155456905347709	NA
"2AAA_HUMAN"	"Human"	0.0479741707949936	-0.369928612124979	0.619806855032448	-0.158687503669521	0.0611946707534359	-0.164063057097824	-0.0842710157377485	-0.393384693759408	0.0304051779203109	-0.206002700817171	-0.278846712998379
"RS16_HUMAN"	"Human"	-0.15784882952455	0.383879867292	-0.274917977306479	-0.239958715520785	-0.272132939474085	-0.0477400118667873	-0.00625454708918347	0.100347534244911	0.0634443084790723	0.0592410116629768	0.158244434773911
